Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0
0;0.0;1759.5477971737323;1599.069825436409
1;0.03;1763.1650406504064;1595.213008130081
2;0.07;1766.7565011820332;1591.4034672970843
3;0.1;1769.6762589928057;1588.2414068745004
4;0.13;1772.6690251572327;1585.2201257861634
5;0.17;1775.3596899224806;1582.3565891472867
6;0.2;1776.889724310777;1579.6984126984125
7;0.23;1778.2827461607947;1575.4363143631435
8;0.27;1782.3105861767276;1571.0673665791776
9;0.3;1788.8046757164404;1567.2013574660634
10;0.33;1794.926605504587;1562.519877675841
11;0.37;1800.2780303030302;1555.009090909091
12;0.4;1805.3966049382714;1548.349537037037
13;0.43;1811.1132478632478;1543.031339031339
14;0.47;1816.3360433604335;1538.7872628726286
15;0.5;1821.454732510288;1534.141975308642
16;0.53;1825.771269177127;1529.4086471408646
17;0.57;1829.8225371120107;1524.1032388663969
18;0.6;1833.5700680272107;1519.5748299319728
19;0.63;1837.1300330033002;1515.7557755775576
20;0.67;1840.900831733845;1512.2955854126678
21;0.7;1844.2396226415094;1509.1685534591193
22;0.73;1847.861932938856;1505.636423405654
23;0.77;1850.8375733855187;1502.6921069797781
24;0.8;1853.373883161512;1499.8515463917527
25;0.83;1857.8831541218638;1494.6688172043011
26;0.87;1859.5997023809523;1492.453125
27;0.9;1861.9172633253777;1491.3412887828163
28;0.93;1870.5065856129684;1488.871327254306
29;0.97;1879.1125925925926;1484.4518518518516
30;1.0;1886.7299578059071;1480.0928270042193
31;1.03;1895.117216117216;1477.6043956043957
32;1.07;1901.3174603174602;1475.920634920635
33;1.1;1901.3589743589741;1475.3589743589741
34;1.13;1925.0598290598289;1471.2393162393162
35;1.17;1926.8478260869565;1469.0217391304348
36;1.2;1929.8024691358023;1464.7592592592594
37;1.23;1929.9318181818182;1462.7651515151515
38;1.27;1929.969696969697;1458.2828282828282
39;1.3;1929.969696969697;1458.2828282828282
40;1.33;1916.2066666666665;1441.773333333333
41;1.37;1916.8555555555554;1438.0777777777776
42;1.4;1918.3666666666666;1432.753333333333
43;1.43;1918.707207207207;1427.279279279279
44;1.47;1914.8532608695652;1418.0253623188405
45;1.5;1914.194109772423;1413.053547523427
46;1.53;1915.36917562724;1407.010752688172
47;1.57;1916.0647857889237;1399.662486938349
48;1.6;1916.214015151515;1392.7253787878788
49;1.63;1916.0180817610062;1389.883647798742
50;1.67;1916.2810734463276;1383.4802259887006
51;1.7;1916.4033397559408;1379.7675016056517
52;1.73;1916.0206611570247;1373.9951790633609
53;1.77;1916.1091387245233;1369.9270216962525
54;1.8;1916.2183271832716;1366.8997539975398
55;1.83;1916.1921708185052;1365.102609727165
56;1.87;1915.9801734820321;1360.7998760842625
57;1.9;1913.6406349206347;1356.9606349206347
58;1.93;1913.0194292653307;1351.7795992714025
59;1.97;1913.7819706498951;1344.522536687631
60;2.0;1914.8981645944343;1332.6909413854353
61;2.03;1913.0299625468165;1322.8632958801497
62;2.07;1910.5019455252918;1312.207522697795
63;2.1;1909.250859106529;1301.026116838488
64;2.13;1909.4048929663609;1292.817125382263
65;2.17;1908.3069182389936;1283.3201257861635
66;2.2;1906.0879629629628;1273.341931216931
67;2.23;1904.6075373619233;1265.2209226770628
68;2.27;1903.28330206379;1254.8930581613508
69;2.3;1903.142857142857;1246.7521367521367
70;2.33;1902.451707891637;1240.1672555948173
71;2.37;1901.74688057041;1233.5549613784906
72;2.4;1901.2482801751094;1227.7767354596622
73;2.43;1900.7204094689698;1221.0863723608445
74;2.47;1900.0643166357452;1216.239332096475
75;2.5;1899.508166969147;1211.3115547489413
76;2.53;1898.8387878787878;1205.9848484848485
77;2.57;1898.7425569176883;1202.5499124343257
78;2.6;1898.604823747681;1198.443413729128
79;2.63;1898.1663630843957;1195.1548269581056
80;2.67;1897.7137096774193;1191.3904569892472
81;2.7;1896.5097125097125;1187.7070707070707
82;2.73;1894.9091591591591;1184.4527027027027
83;2.77;1893.213457076566;1178.8035576179427
84;2.8;1892.9541930937278;1170.596899224806
85;2.83;1893.0081632653062;1163.3238095238094
86;2.87;1893.2602535421327;1154.7434750186428
87;2.9;1891.8026224982746;1146.6135265700482
88;2.93;1890.0940366972477;1138.7217125382263
89;2.97;1889.56057185854;1131.3912716328066
90;3.0;1890.0015117157973;1124.055177626606
91;3.03;1889.9491150442477;1117.589970501475
92;3.07;1890.022774327122;1110.1890959282262
93;3.1;1889.5319587628867;1104.046735395189
94;3.13;1888.6794598436388;1097.7526652452025
95;3.17;1888.6644974692695;1092.5791757049892
96;3.2;1888.141542816702;1088.0254777070063
97;3.23;1888.1041666666665;1083.1242816091954
98;3.27;1887.7539341917022;1078.9606580829757
99;3.3;1887.6024590163934;1075.6946721311476
100;3.33;1887.2794691647148;1071.480093676815
101;3.37;1886.8441196938063;1068.2574808629088
102;3.4;1887.1113689095127;1064.754833720031
