Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0
0;0.0;1747.932149362477;1375.273679417122
1;0.03;1726.8267370272645;1376.504397537379
2;0.07;1705.1144909167722;1379.9885931558936
3;0.1;1683.9867330016582;1383.160862354892
4;0.13;1665.8709803921568;1385.2298039215686
5;0.17;1648.6006864988558;1386.8573607932874
6;0.2;1632.8058733791;1388.1598016781081
7;0.23;1618.592634776006;1389.0125284738042
8;0.27;1602.7687809266754;1390.89428699955
9;0.3;1591.7272357723575;1398.1955284552844
10;0.33;1576.2614223281685;1412.980532379817
11;0.37;1561.70750680669;1426.5725398677555
12;0.4;1550.2260627731425;1440.5887961859357
13;0.43;1541.0779116465862;1453.6843373493975
14;0.47;1532.6146341463414;1466.7845528455284
15;0.5;1525.569825436409;1481.6537822111388
16;0.53;1523.0990546650225;1498.1824907521577
17;0.57;1516.9200639488408;1517.1786570743404
18;0.6;1511.2594303310236;1535.4865280985373
19;0.63;1507.01235998455;1553.2050984936268
20;0.67;1503.6440745144666;1570.0336900515258
21;0.7;1500.9351309105118;1584.9449003517
22;0.73;1498.6717230649551;1599.2446518864253
23;0.77;1496.885150812065;1612.0580046403713
24;0.8;1495.2624277456648;1624.7179190751444
25;0.83;1494.0315789473684;1635.7719298245613
26;0.87;1492.9182389937105;1646.683962264151
27;0.9;1491.810975609756;1656.7447154471542
28;0.93;1491.0449090205186;1665.864111498258
29;0.97;1490.1283570300156;1674.9814375987362
30;1.0;1489.5183129855716;1682.9204587495374
31;1.03;1489.126335174954;1689.7988950276242
32;1.07;1488.3228315830415;1698.3096071567481
33;1.1;1488.307893752338;1702.97493453049
34;1.13;1488.793384879725;1712.9394329896907
35;1.17;1490.6076243607622;1726.0706648070664
36;1.2;1492.0353341847592;1739.5751383567474
37;1.23;1493.28529657477;1749.2882205513783
38;1.27;1494.7050147492623;1759.7779182469446
39;1.3;1496.1546868432113;1769.0306851618327
40;1.33;1498.0599099099097;1778.3630630630628
41;1.37;1499.717981888745;1785.8451918930573
42;1.4;1501.5176260597946;1793.6929941990181
43;1.43;1503.5423649906888;1801.4608938547485
44;1.47;1505.2331881954524;1807.92404450895
45;1.5;1506.7110507246375;1812.3777173913043
46;1.53;1508.1830985915492;1815.4261867501302
47;1.57;1507.873130728413;1826.3424987940182
48;1.6;1502.327664399093;1837.4795918367347
49;1.63;1496.8893203883495;1841.6168284789644
50;1.67;1491.675272518646;1842.2358003442341
51;1.7;1485.5187713310581;1844.0745164960178
52;1.73;1474.297697368421;1849.9364035087717
53;1.77;1470.3857729138167;1851.8595531235749
54;1.8;1464.9681697612732;1854.5008841732977
55;1.83;1460.184908789386;1856.882255389718
56;1.87;1451.4794176706826;1861.5135542168675
57;1.9;1449.3957219251338;1862.250891265597
58;1.93;1444.4838424081452;1864.826914563966
59;1.97;1440.9430894308944;1866.4837398373984
60;2.0;1433.7274633123689;1870.6745283018868
61;2.03;1430.148270181219;1871.2493135639756
62;2.07;1425.288612263716;1871.2498847395111
63;2.1;1411.5984440454815;1874.0167564332733
64;2.13;1404.2122169562927;1876.6192733017378
65;2.17;1398.5294396961062;1878.7939221272554
66;2.2;1391.6140350877192;1880.8070175438595
67;2.23;1386.3711484593837;1882.0751633986927
68;2.27;1391.0;1879.0
69;2.3;1404.0666666666666;1872.6666666666665
70;2.33;1405.4444444444443;1868.6666666666667
71;2.37;1395.6666666666665;1867.6666666666665
72;2.4;1361.5986997635932;1898.9249408983449
73;2.43;1359.7447495961228;1901.3931071620893
74;2.47;1356.42218798151;1905.4083204930662
75;2.5;1351.9087232813401;1911.7590987868284
76;2.53;1347.9470085470086;1917.2353276353274
77;2.57;1345.6873385012918;1920.316795865633
78;2.6;1343.3222923238695;1922.9095688748682
79;2.63;1342.028875379939;1924.711246200608
80;2.67;1338.1487341772151;1926.7294303797469
81;2.7;1337.2700216450214;1926.4686147186144
82;2.73;1334.4267857142856;1929.0619047619045
83;2.77;1328.3975387907972;1932.3927233814873
84;2.8;1321.4603174603174;1939.8449328449326
85;2.83;1318.1664074650078;1943.9564541213065
86;2.87;1311.9129746835442;1948.1729957805906
87;2.9;1303.8388721047331;1951.2844914400805
88;2.93;1292.7548125633232;1957.8774062816615
89;2.97;1288.122922134733;1960.7432195975503
90;3.0;1280.822393822394;1965.7979407979408
91;3.03;1275.065208065208;1970.024882024882
92;3.07;1270.3907882241215;1972.6785375118707
93;3.1;1265.0345303867402;1971.5782688766112
94;3.13;1256.757495590829;1971.856701940035
95;3.17;1247.010840108401;1973.4105691056911
96;3.2;1237.5575221238937;1975.899705014749
97;3.23;1231.1095600676817;1977.6154822335025
98;3.27;1225.9024970273483;1979.1117717003567
99;3.3;1220.0372596153845;1981.474358974359
100;3.33;1214.066750629723;1983.4596977329975
101;3.37;1208.8054457619673;1984.7492314448834
102;3.4;1205.042126789366;1985.4952965235173
103;3.43;1202.145782145782;1986.0323505323504
104;3.47;1197.4355613805153;1987.1310615989514
105;3.5;1194.7584415584415;1987.4458874458874
106;3.53;1190.0271572492334;1987.196671046868
107;3.57;1182.347239780868;1986.5726927939318
108;3.6;1174.4573829531812;1987.2913165266104
109;3.63;1165.5334174022698;1989.017654476671
