Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1;X_Arena0_Ind2;Y_Arena0_Ind2
0;0.0;1973.503916449086;912.3607484769364;1926.2831241283125;774.3951650395164;1995.6176767676766;1017.8474747474746
1;0.03;1976.1031236628155;933.0688917415489;1934.2924528301887;791.64734950584;1996.0267639902675;1043.0666666666666
2;0.07;1977.8544600938967;952.0358514724712;1941.4430497443047;807.8465829846583;1996.7335375191424;1067.2312404287902
3;0.1;1981.2982695810563;971.5500910746812;1950.161798794622;823.6314325452016;1997.4398950131233;1088.9112860892387
4;0.13;1983.8361034164357;989.8301015697136;1958.0486842105263;837.1333333333332;1997.635997988939;1107.7400703871292
5;0.17;1983.75956284153;1006.6484517304189;1965.103951890034;850.8011168384879;1997.54609929078;1125.112968591692
6;0.2;1983.2796296296294;1023.2004629629629;1970.9383185466834;864.0354879594423;1997.3538230884558;1141.167916041979
7;0.23;1983.0267192290844;1037.9553219448094;1976.0434604346042;876.5190651906519;1996.9417910447762;1155.7348258706465
8;0.27;1982.0893827160492;1053.3925925925926;1980.5448798988623;887.732827644332;1993.195;1171.612222222222
9;0.3;1975.6955223880598;1074.3194029850747;1984.9310191366264;901.2305295950155;1984.5225806451613;1194.5247311827957
10;0.33;1973.1467065868264;1101.8592814371257;1984.7725856697816;924.677792612372;1978.2588235294118;1221.418487394958
11;0.37;1966.8984082397;1130.1558988764045;1988.142857142857;952.8381795195954;1969.5494791666665;1246.6458333333333
12;0.4;1961.532122905028;1155.101024208566;1989.5023696682465;977.0126382306477;1962.7294994675183;1268.3375931842384
13;0.43;1956.4307479224376;1178.4422899353647;1990.1536585365855;998.7813008130081;1955.5397316821463;1289.8209494324044
14;0.47;1950.991724137931;1199.4763218390804;1990.9905349794237;1018.4559670781892;1948.1209677419354;1309.1817204301074
15;0.5;1946.0077945896376;1217.8624484181569;1990.4855708908406;1038.6486825595985;1941.4509186351704;1326.1448818897638
16;0.53;1941.2913816689465;1234.731874145007;1989.8444444444444;1063.3868312757202;1934.9021796916531;1341.6087187666135
17;0.57;1934.3759318423854;1251.6592119275824;1992.3143459915611;1088.0738396624472;1929.994683678894;1357.8027644869749
18;0.6;1921.6595201633484;1272.7585502807553;1992.7141148325359;1111.634370015949;1923.902192242833;1379.7116357504217
19;0.63;1911.5499746321664;1296.357686453577;1993.356914468425;1132.414068745004;1910.4219001610306;1404.2055823939882
20;0.67;1899.85322997416;1317.7669250645995;1994.4245787094121;1153.8594327990136;1899.2974186307517;1430.0965207631873
21;0.7;1888.719584569733;1338.307121661721;1995.2784407319014;1171.7633253778838;1888.195688225539;1452.8336097291321
22;0.73;1879.2006125574273;1356.9254721796833;1996.008832565284;1188.6985407066052;1877.5736434108526;1474.1982281284606
23;0.77;1870.8216499761563;1372.766809728183;1996.568800588668;1204.2729948491537;1868.0948509485092;1493.3945799457995
24;0.8;1862.1952038369302;1388.6762589928057;1996.7321559970567;1218.9860191317143;1859.060363247863;1511.4348290598289
25;0.83;1854.6422521175882;1402.1803687095166;1996.7564687975646;1232.4033485540333;1850.8096926713947;1527.2789598108745
26;0.87;1848.4635340185998;1418.2618697993146;1996.6057185854024;1244.6166290443941;1842.6580903373354;1541.834762721555
27;0.9;1837.4317708333333;1439.1515625;1996.315503875969;1256.5356589147284;1837.6798679867986;1557.8982398239823
28;0.93;1825.4292379471228;1461.7148781752203;1992.5998359983598;1271.29971299713;1825.8172619047618;1581.4880952380952
29;0.97;1813.8276607239327;1485.7071853052403;1985.133975130365;1292.3983152827918;1810.009199134199;1604.5194805194806
30;1.0;1801.6760270410816;1507.328133125325;1979.9156816390857;1312.0559495665877;1795.124203821656;1627.9851380042462
31;1.03;1791.9431279620853;1525.8146392838335;1975.1546762589928;1329.8601119104715;1780.8250517598342;1647.8954451345753
32;1.07;1781.7285633162976;1543.9591141396934;1970.1848184818482;1345.7632013201319;1766.5124792013312;1668.2373821408762
33;1.1;1773.1669283097854;1558.6556776556777;1965.7909803921568;1360.0078431372547;1755.0721649484535;1684.3794796269021
34;1.13;1765.2071935157041;1573.418946301925;1960.578239608802;1373.789323553382;1743.9936647173488;1698.6520467836258
35;1.17;1753.3490127758419;1591.7706155632984;1956.8460317460315;1393.8468253968254;1732.9918229918228;1712.236171236171
36;1.2;1734.8055555555554;1611.2834595959596;1948.2488440521226;1416.4384195039931;1719.5603492552643;1723.9815100154083
37;1.23;1716.7116249197172;1635.897880539499;1939.3653766125674;1437.4756554307116;1704.7474885844747;1734.6990867579907
38;1.27;1698.0056074766355;1655.2591900311527;1931.6684210526316;1458.0859649122806;1681.7082714214955;1755.8860822189201
39;1.3;1680.8223062381853;1676.7025834908632;1925.5808656036447;1473.3310554290051;1663.1109543958626;1771.158909261871
40;1.33;1663.6181055155876;1696.8321342925658;1909.7553630363036;1493.5750825082507;1642.573199809251;1787.2846924177397
41;1.37;1650.8333333333333;1711.5246710526317;1897.6155419222903;1512.8781186094068;1625.8624708624707;1801.048951048951
42;1.4;1636.6997289972899;1726.8070460704605;1885.3875205254515;1530.3555008210178;1609.8272090988626;1813.612423447069
43;1.43;1622.0177777777776;1741.4279365079365;1895.6666666666665;1519.6666666666665;1594.593123209169;1825.7841451766951
44;1.47;1606.7860286028601;1750.6930693069307;1862.0020859407591;1561.9507717980807;1578.4534829359513;1843.0724637681158
45;1.5;1587.3297997644286;1765.6472320376913;1849.1085170773886;1575.7431906614786;1596.722222222222;1836.8888888888887
46;1.53;1566.8120689655173;1780.4936781609194;1832.3209366391184;1601.1267217630855;1535.7563676633442;1872.7558139534883
47;1.57;1545.590811965812;1793.9807692307693;1818.6717948717949;1623.1337606837606;1513.7284671532848;1887.0379562043795
48;1.6;1522.3221663874929;1811.6197654941373;1804.0383480825958;1645.370417193426;1493.4191279887482;1899.3792780121892
49;1.63;1505.2666666666667;1822.241994750656;1791.612847222222;1665.9474826388887;1506.0;1892.5
50;1.67;1488.9783732957214;1832.5195110484249;1805.722222222222;1660.8888888888887;1490.6666666666665;1910.6666666666665
51;1.7;1473.7438356164384;1842.5086757990866;1785.625;1672.25;1430.370127025843;1930.7157249233462
52;1.73;1455.0328358208956;1852.118407960199;1734.4401606425702;1720.432530120482;1403.3703208556149;1941.6635472370765
53;1.77;1434.216639654241;1859.1345218800648;1717.1915151515152;1735.622222222222;1378.688468992248;1954.3246124031007
54;1.8;1409.1030020703934;1871.8788819875776;1699.8480913026367;1751.8591105863832;1355.3091085271317;1966.4738372093022
55;1.83;1387.2889254385964;1879.9364035087717;1685.3769547325103;1765.3230452674895;1334.7258805513018;1975.9305768249105
56;1.87;1362.5721476510066;1891.08836689038;1671.440097799511;1777.796251018745;1314.5557199211046;1984.810650887574
57;1.9;1344.3813131313132;1899.659595959596;1660.548682703322;1788.496754486445;1297.1400759734092;1988.8461538461538
58;1.93;1324.2162300975858;1907.7123780174627;1643.4886363636363;1805.0319865319864;1270.8065068493152;1996.22203196347
59;1.97;1303.336372847011;1916.6524822695035;1623.2139812446717;1820.447144075021;1242.5318295739348;2004.2375939849624
60;2.0;1283.7390648567118;1922.8486676721968;1605.58353909465;1835.9119341563785;1215.5544315992292;2009.724951830443
61;2.03;1262.169176706827;1928.2053212851404;1588.3978887535525;1849.1664636622004;1192.8976124885214;2014.6873278236915
62;2.07;1239.136612021858;1938.0660705414803;1572.9659863945576;1860.6126450580232;1170.239327883742;2018.4309718437783
63;2.1;1251.5;1937.5;1558.5903712770296;1871.7878416972662;1185.5;2021.5
64;2.13;1193.1811263318114;1953.958396752917;1544.2848861283644;1883.6045548654242;1129.6522327469554;2022.4447451511048
65;2.17;1170.3832061068701;1961.5089058524172;1533.4692926725963;1891.8280389665395;1100.1948493683187;2016.8177842565597
66;2.2;1149.2883490778227;1966.3751686909582;1516.7283795130143;1898.378673383711;1073.7182291666666;2016.7421875
67;2.23;1122.6357941834451;1975.2107382550334;1499.2544169611308;1906.146446800157;1051.6222540592166;2014.4603629417381
68;2.27;1101.6851601262968;1979.7731168245375;1482.4719397363463;1915.6546139359698;1026.961814914645;2011.754716981132
69;2.3;1078.4216524216524;1984.2867996201328;1466.8242862887012;1924.3297145154804;1006.2771787960467;2009.6194968553457
70;2.33;1055.0361794500723;1989.4819102749639;1452.8145908907698;1931.545747682386;987.3027482269503;2007.0336879432623
71;2.37;1033.494708994709;1989.4995590828921;1441.6629129129128;1937.2454954954956;970.3994452149792;2004.8081368469716
72;2.4;1009.1521456436931;1989.8560901603814;1428.533255086072;1944.3509389671362;954.9187793427229;2002.425821596244
73;2.43;984.1319727891156;1989.7061224489796;1416.1331699346404;1951.0138888888887;937.6064382139148;1995.315680166147
74;2.47;971.9074074074074;1989.6666666666667;1398.1463844797177;1957.2014991181657;911.025;1987.1
75;2.5;941.0;1987.530612244898;1381.7372598162071;1964.9695071010858;884.3620689655172;1981.9827586206898
76;2.53;915.9264705882352;1985.264705882353;1365.2122302158273;1971.4820143884892;857.7115384615385;1975.0192307692307
77;2.57;902.8428571428572;1982.857142857143;1347.9505271695052;1976.9302514193023;842.3548387096774;1970.7096774193549
78;2.6;883.5952380952381;1979.7142857142858;1328.7133076593923;1984.9751818570815;824.6086956521739;1967.231884057971
79;2.63;858.1320754716982;1977.4716981132076;1308.0137207425341;1989.5738498789347;799.2222222222222;1959.5
80;2.67;850.4791666666666;1976.5625;1284.3160230803371;1996.5610297381268;792.3636363636364;1958.3636363636363
81;2.7;837.6153846153846;1972.1538461538462;1260.4468511833131;1998.968712394705;778.1084337349398;1954.7349397590363
82;2.73;811.469387755102;1969.204081632653;1232.3975340136053;2004.9272959183672;759.0923076923077;1947.4615384615386
83;2.77;795.476133172884;1968.8660248696349;1248.6666666666665;2004.3333333333333;736.902397260274;1944.9965753424658
84;2.8;784.025;1965.25;1188.4867291178766;2011.654176424668;716.6071428571429;1942.2857142857142
85;2.83;763.0276134122288;1955.4635108481261;1169.3942946463462;2013.9445095740523;686.8014842300556;1934.725417439703
86;2.87;746.0816125860373;1949.7959685349063;1151.274074074074;2016.661208576998;661.3316062176166;1929.5607369027055
87;2.9;730.5145833333333;1941.6864583333331;1133.6962676962678;2018.8549978549977;639.991452991453;1924.3920227920228
88;2.93;714.0716086737267;1933.7332324760462;1115.5941850941851;2018.7182637182634;620.3677795442501;1919.2644409114996
89;2.97;697.0984966303783;1927.1969932607567;1094.8831116485287;2018.5352680370816;602.1045647558386;1914.3391719745223
90;3.0;681.2890666666666;1919.5861333333332;1071.3093401885176;2018.2193658954582;583.677722498618;1904.631288004422
91;3.03;666.3276308968377;1911.8926905132193;1049.993223210504;2016.569250317662;563.4352303523035;1893.5669376693763
92;3.07;649.6955082742317;1905.7082742316784;1028.4864317537463;2017.0016200891048;540.7735368956743;1882.3852417302799
93;3.1;634.5903790087464;1898.791059280855;1006.1971153846154;2016.189503205128;521.0863509749304;1870.7585886722375
94;3.13;618.4025676295277;1889.9523154516276;986.5597484276728;2016.4835368109507;502.01275285839927;1860.3689533861036
95;3.17;601.2698412698413;1883.6127946127945;966.7465564738291;2017.9464777646594;485.28477133427623;1851.2649693540782
96;3.2;582.5917546505782;1875.3016591251885;947.3523131672598;2017.7220245156186;468.397973950796;1841.6145682585623
97;3.23;565.0829715388326;1865.6575012059816;929.4778305621535;2017.0277117973078;455.20722057368937;1833.379821958457
98;3.27;548.9900766801984;1858.3464140730716;911.9236641221374;2017.3544165757905;444.5646258503401;1821.8208616780043
99;3.3;532.4907546226887;1848.3308345827083;892.0507075471698;2014.5165094339623;426.1626865671642;1803.8333333333333
100;3.33;516.7518018018018;1835.8337837837837;874.157440125638;2011.3404004711426;406.41237579042456;1786.497741644083
101;3.37;500.7753120665742;1825.0850670365232;858.2420937840785;2009.8200654307525;390.7934076137418;1770.6095636025996
102;3.4;485.9736243747157;1813.788540245566;840.7717750826902;2007.0676221977214;376.20265933058226;1755.5025217790003
103;3.43;471.65416666666664;1800.8125;821.8134328358209;2006.1778606965174;362.813373253493;1741.6197604790418
104;3.47;455.49159663865544;1789.642857142857;799.9795833333333;2005.4666666666665;350.7949094468918;1728.6612824278022
105;3.5;440.6491712707182;1775.0372928176796;776.6223021582733;1999.2362110311751;340.3547904191617;1716.8493013972054
106;3.53;424.2362240289069;1756.8775971093041;753.0833333333333;1994.5500764525991;330.228095937347;1704.24424865394
107;3.57;407.13085399449034;1740.6808999081725;734.2277904328018;1988.9597570235383;320.9518190757129;1692.2241887905604
108;3.6;390.4724680432645;1720.7468043264503;714.6822794691647;1977.1869633099138;312.7824947589098;1680.9596436058698
109;3.63;372.3651019440493;1702.0066382171642;694.6014652014651;1967.3124542124542;305.82894736842104;1671.1140350877192
110;3.67;357.33567415730334;1684.801966292135;676.2562893081761;1959.6548742138364;299.09836901121304;1661.2471967380222
111;3.7;344.49750566893425;1668.5170068027212;659.2770809578108;1952.9110604332952;294.1435594886922;1653.3977384464108
112;3.73;332.1237161531279;1652.8221288515406;644.8003875968991;1946.925968992248;288.64193548387095;1635.716129032258
113;3.77;321.7083894122925;1639.927770300583;629.8344827586207;1940.9827586206898;274.1000562113547;1613.114671163575
114;3.8;311.00834492350486;1626.5850718590632;612.6423357664233;1936.0993511759934;262.5322952710496;1591.60092272203
115;3.83;303.0933888118354;1613.6079519186314;591.9082125603865;1926.0426731078903;251.991974317817;1572.369716425896
116;3.87;293.63958916900094;1598.0359477124182;571.8319018404908;1916.960736196319;241.11529680365294;1553.150684931507
117;3.9;281.80187416331995;1582.5390450691652;551.7576875768758;1908.152111521115;231.55555555555554;1535.7667766776676
118;3.93;271.1609195402299;1563.829885057471;534.4021035598705;1899.0546116504854;223.45231213872833;1521.2596339113677
119;3.97;258.5165289256198;1544.8365472910925;519.5989096573209;1891.21261682243;215.01004304160688;1506.3758967001436
120;4.0;243.7651715039578;1524.1679859278802;505.64074960127584;1884.2535885167465;202.9123606889564;1491.8515704154001
121;4.03;232.787037037037;1505.0912037037035;490.87802071346374;1871.3413885692364;191.37344173441733;1468.1983739837399
122;4.07;220.00337552742616;1486.989451476793;473.3387978142076;1855.8231850117097;177.9823304680038;1443.7784145176695
123;4.1;208.23881856540083;1470.0037974683544;456.1160409556314;1843.4133485020857;165.66529680365295;1419.3337899543378
124;4.13;198.45926849542806;1454.7527015793846;439.63584474885846;1831.6423135464229;155.24009009009006;1397.4563063063063
125;4.17;188.58005914659907;1439.0511195606252;425.3107798165138;1821.0550458715597;145.20197530864198;1376.4553086419753
126;4.2;179.75295075295074;1425.1904761904761;412.71247113163975;1811.1566589684371;136.57136015325668;1358.3577586206898
127;4.23;171.26208981001724;1411.5474956822104;401.450936329588;1802.3734082397002;128.5834641548927;1340.6043956043957
128;4.27;164.60563973063972;1400.347643097643;388.6359030039811;1790.7839305103148;122.34974214721049;1325.6347866854194
129;4.3;158.98888888888888;1385.0794238683127;375.5005440696409;1777.321726514327;116.39784946236558;1311.117812061711
130;4.33;150.72472594397075;1366.6792529435645;360.0315369261477;1764.0718562874251;109.89035667107001;1297.2333773667988
131;4.37;141.73308112652376;1347.494745691467;346.54797117937045;1750.6143344709897;98.36083451872925;1281.2830725462304
132;4.4;135.67489711934155;1328.7082304526748;332.7373737373737;1736.341491841492;87.40915805022156;1258.2112259970459
133;4.43;126.86193548387097;1307.4765591397847;318.1127562642369;1723.4646924829158;76.97718808193669;1237.0679702048417
134;4.47;119.48751642575559;1287.8396846254927;305.76628787878786;1711.0594696969697;68.28377746610565;1217.1150070126228
135;4.5;114.0336987413723;1270.3495736906211;290.95272727272726;1697.4545454545455;61.82991336069311;1198.6694026447788
136;4.53;107.28170731707317;1251.9845528455285;274.41422121896164;1676.5823927765236;56.693315858453474;1180.5124508519004
137;4.57;100.87727825030376;1236.1178614823816;257.4519379844961;1652.9821705426355;56.717032967032964;1157.3507326007325
138;4.6;95.4778830963665;1221.3479462875198;241.45698279311725;1631.988795518207;53.83766529867761;1133.1477428180574
139;4.63;90.38792390405293;1206.298593879239;228.4313008130081;1612.5731707317073;51.373493975903614;1112.140562248996
140;4.67;85.21126760563381;1191.9001280409732;217.02747474747474;1595.2024242424243;49.868637110016415;1093.7701149425286
141;4.7;78.83650995340956;1174.8301567132569;205.48758648758647;1578.0154660154658;49.51724137931034;1075.7159277504104
142;4.73;77.79196499602227;1155.3460620525059;196.81007751937983;1557.8837209302326;48.988326848249024;1058.9243406830956
143;4.77;75.93085787451984;1131.437900128041;184.19672801635988;1534.7439672801636;47.00787037037037;1037.8814814814814
144;4.8;74.33374133006936;1107.466340269278;172.76050255202196;1512.826855123675;53.61164603392939;1011.5089408528198
145;4.83;75.05820105820105;1084.278795278795;161.23641524736414;1490.8081914030818;60.06958157028678;983.5994358251057
146;4.87;74.15707874337005;1060.3027335781312;148.54852824184564;1470.6372315035799;66.13071895424837;957.188608776844
147;4.9;74.79670781893003;1039.348148148148;138.42130177514792;1451.8733727810652;72.68841607565011;933.1801418439717
148;4.93;76.5811648079306;1018.2800495662949;128.64626635873748;1432.6647421093146;78.05382716049382;911.7807407407407
149;4.97;77.5874153723616;999.4253285543608;118.86893583724569;1415.0457746478874;82.74152756702074;892.5690440060698
150;5.0;78.22069253233208;981.857321652065;111.87771203155818;1397.3167652859959;88.76826484018264;874.7962328767123
